ID machihne,ID geo,Symmetric,Side,Breaks,Parallel width shaft (mm),Perpendicular width shaft (mm),Width geo before shaft (mm),Max width (mm),Distance from tip to start haft (mm)
1,1,Yes,Distal/Proximal,No,"6,2","5,6","1,1","11,6","8,5"
2,2,Yes,Distal/Proximal,No,"6,9","5,8","1,8","12,9","8,6"
3,3,No,Proximal,No,6,"5,8","1,5","12,1","6,7"
4,4,No,Proximal,No,"6,3",6,3,"14,9","4,6"
5,5,No,Proximal,No,"5,6","5,5","1,9","10,5","4,7"
8,6,No,Proximal,No,"5,8","5,9","1,7","9,1","4,5"
9,7,Yes,Distal/Proximal,No,"8,4","7,6","4,3","21,3",12
10,8,Yes,Distal/Proximal,No,"7,4","6,6","3,5","18,8","6,9"
11,9,Yes,Distal/Proximal,No,"8,3","5,8","2,3","13,3","10,6"
12,10,Yes,Distal/Proximal,No,"6,1",6,"3,1","12,6","9,2"
13,11,Yes,Distal/Proximal,No,"6,2","5,8","2,3","11,1","6,4"
14,12,Yes,Distal/Proximal,No,"5,7",6,"2,2","10,8","6,6"
15,13,No,Proximal,No,"6,3","5,5","2,1","9,1","10,4"
16,14,No,Proximal,No,"6,9","5,9","2,4","10,9","7,6"
17,15,No,Distal,No,"6,2","5,7","2,4","11,7","10,4"
18,16,No,Distal,No,"6,3","5,8",2,"9,7","8,2"
19,17,Yes,Distal/Proximal,No,"6,8","5,7","2,5","10,1","7,2"
20,18,Yes,Distal/Proximal,No,"7,6","5,9","2,8","13,4","12,4"
21,19,Yes,Distal/Proximal,No,"6,2","5,6","1,5","9,4","6,6"
22,20,Yes,Distal/Proximal,No,"5,2","5,6","1,2","9,3","8,2"
23,21,Yes,Distal/Proximal,No,"5,6","6,3","1,9","7,9","12,8"
24,22,Yes,Distal/Proximal,No,"6,6","5,8","2,4","9,9","9,8"
25,23,Yes,Distal/Proximal,No,"7,8","5,6","2,4","10,4","8,7"
26,24,Yes,Distal/Proximal,No,"8,1","5,3","3,2","11,2",9
27,25,Yes,Distal/Proximal,No,"6,2","5,7","1,6","10,2",8
28,26,Yes,Distal/Proximal,No,"5,7","5,8","1,8","11,4","8,9"
29,27,No,Proximal,No,"6,4","5,9","1,7","13,9","8,1"
30,28,No,Proximal,No,"6,7","5,8","1,8","13,3","9,9"
31,29,Yes,Distal/Proximal,No,"5,8","5,7","1,5","9,7","6,1"
