ID machihne,ID geo,Symmetric,Side,Breaks,Parallel width shaft (mm),Perpendicular width shaft (mm),Width geo before shaft (mm),Max width (mm),Distance from tip to start haft (mm)
1,1,Yes,Horizontal,No,5,"6,3","1,7","20,1","3,7"
2,2,Yes,Horizontal,No,"6,3","5,6","1,4","19,5","4,5"
3,3,No,Horizontal,No,"5,2","5,8","1,4","12,6","4,7"
4,4,No,Horizontal,No,"7,1","6,3","1,9",13,"6,7"
5,5,No,Horizontal,No,"5,9","5,3","1,1","17,4","3,2"
6,6,No,Horizontal,No,"5,8",6,"0,8","13,1","3,8"
7,7,Yes,Distal/Proximal,No,8,6,"3,8","20,7","11,6"
8,8,Yes,Distal/Proximal,No,"9,1","6,5","2,2","19,6","6,9"
10,9,Yes,Distal/Proximal,No,7,"5,9","2,8",12,9
11,10,Yes,Distal/Proximal,No,"8,2","6,6","2,5","14,7","9,6"
12,11,Yes,Horizontal,No,"6,2","5,9","1,5","14,5","5,3"
13,12,Yes,Horizontal,No,"6,1","7,1","1,3","14,6","4,1"
14,13,No,Horizontal,No,"6,4","6,1",1,"22,3","5,9"
15,14,No,Horizontal,No,"6,7","6,4",1,"23,9","4,1"
16,15,No,Horizontal,No,"6,4","5,6","1,1","22,4","2,7"
17,16,No,Horizontal,No,"6,2",6,"1,3",20,"4,3"
18,17,Yes,Horizontal,No,"6,9","6,3","1,9","19,7","5,6"
19,18,Yes,Horizontal,No,7,"5,8","1,9","22,6","5,8"
20,19,Yes,Horizontal,No,"5,2","5,7","1,2","16,3","4,4"
21,20,Yes,Horizontal,No,"5,4","6,1","1,1","15,1","4,8"
22,21,Yes,Horizontal,No,"5,2","6,1",1,"25,5","3,6"
23,22,Yes,Horizontal,No,"6,6","6,2","1,2","27,2","4,3"
24,23,Yes,Horizontal,No,"6,7","5,6","1,6","22,8","2,4"
25,24,Yes,Horizontal,No,"7,2","5,6","2,4","22,7","3,6"
26,25,Yes,Horizontal,No,"5,7","5,9","2,1","17,5","5,7"
27,26,Yes,Horizontal,No,"5,7","5,8","1,5","17,8","4,4"
28,27,No,Horizontal,No,"5,8","6,3","1,2","22,3","3,7"
29,28,No,Horizontal,No,"6,4","5,8","1,2","23,8","3,1"
30,29,Yes,Horizontal,No,"6,4","5,8","1,5","12,8","4,9"
